รหัสสาขา,ชื่อสาขา,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,สถานะ
CJX00096,ซอยทวีวัฒนา 25,ทวีวัฒนา,กรุงเทพมหานคร,13.770245,100.332673,Cancel
CJX00097,ตลาดมิ่ง,เมืองสมุทรปราการ,สมุทรปราการ,13.656562,100.606814,Active store
CJX00098,ตลาดอ่อนนุช 65,ประเวศ,กรุงเทพมหานคร,13.725838,100.681601,Active store
CJX00099,พุแค,เฉลิมพระเกียรติ,สระบุรี,14.664217,100.892942,Active store
CJX00100,ป๊อกแป๊ก,เมืองสระบุรี,สระบุรี,14.509887,100.862326,Active store
CJX00101,บางไผ่ ซอย 17,เมืองนนทบุรี,นนทบุรี,13.828773,100.4923,Active store
CJX00102,ศิริเกษม,บางแค,กรุงเทพมหานคร,13.737164,100.364122,Active store
CJX00103,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,14.68625,100.868556,Active store
CJX00104,ซอยมหาชัย,บางพลี ,สมุทรปราการ,13.632278,100.692417,Active store
CJX00105,วิเชียรโชฎก,เมืองสมุทรสาคร,สมุทรสาคร,13.534506,100.260301,Active store
CJX00106,เคหะวัดกู้,ปากเกร็ด​,นนทบุรี,13.929988,100.508027,Active store
CJX00107,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,14.822592,100.648369,Active store
CJX00108,หนองปลิง,หนองแค,สระบุรี,14.369539,100.830547,Active store
CJX00109,สุกัญญาปาร์ค,ศรีมหาโพธิ,ปราจีนบุรี,13.918668,101.560743,Active store
CJX00110,เอื้ออาทร อินทราทิตย์,เมืองลพบุรี,ลพบุรี,14.848819,100.624664,Active store
CJX00111,ตลาดท่ายาง,ท่ายาง,เพชรบุรี,12.972424,99.888342,Active store
CJX00112,แม่น้ำคู้ ซอย 1,ปลวกแดง,ระยอง,12.925157,101.244953,Active store
CJX00113,หมู่บ้านลภาวันโครงการ 10,ปากเกร็ด,นนทบุรี,13.919364,100.437963,Active store
CJX00114,ชำผักแพว,แก่งคอย,สระบุรี,14.505657,101.021621,Active store
CJX00115,คอนโดศรีเมือง ซอย 2,เมืองระยอง,ระยอง,12.674625,101.27215,Active store
CJX00116,บางขุนเทียน 14,บางขุนเทียน,กรุงเทพมหานคร,13.662767,100.427414,Active store
CJX00117,บ้านสวยน้ำใส 3,ศรีมหาโพธิ,ปราจีนบุรี,13.938214,101.555218,Active store
CJX00118,ตลาดนัดขอนขว้าง,เมืองปราจีนบุรี,ปราจีนบุรี,14.131142,101.441589,Active store
CJX00119,เทศบาลตำบลเสาธงหิน,บางใหญ่,นนทบุรี,13.878884,100.397117,Active store
CJX00120,บางขุนเทียน 16,บางขุนเทียน,กรุงเทพมหานคร,13.658155,100.428989,Active store
CJX00121,ซอยบ้านท่าอิฐไทรม้า,ปากเกร็ด,นนทบุรี,13.899368,100.469662,Active store
CJX00122,คลองถมปราจีนบุรี,เมืองปราจีนบุรี,ปราจีนบุรี,14.055187,101.377346,Active store
CJX00123,ตลาดลาภเจริญ,บ้านแหลม,เพชรบุรี,13.149252,100.026206,ยังไม่ลงเสาเข็ม
CJX00124,สวัสดิการ 1 ซอย 2,หนองแขม,กรุงเทพมหานคร,13.690728,100.362172,Active store
CJX00125,กระทุ่มล้ม 19,สามพราน,นครปฐม,13.735329,100.323119,Active store
CJX00126,หมู่บ้านสิรีนเฮ้าส์,เมืองนนทบุรี,นนทบุรี,13.868812,100.46238,Active store
CJX00127,เคหะร่มเกล้า 31,ลาดกระบัง,กรุงเทพมหานคร,13.761555,100.73044,ก่อสร้างแล้ว รอเปิดร้าน
CJX00128,ลาดพร้าว 93,วังทองหลาง,กรุงเทพมหานคร,13.781016,100.620649,Active store
CJX00129,บูรพาพัฒน์-หาดพลา,บ้านฉาง,ระยอง,12.710008,101.049126,Set up ร้าน
CJX00130,ดอนพุด,ดอนพุด,สระบุรี,14.588695,100.624563,Active store
CJX00131,ชุมชนเพนียด,โคกสำโรง,ลพบุรี,15.074095,100.791106,Active store
CJX00132,รำพัน (จันทบุรี),ท่าใหม่,จันทบุรี,12.642559,101.911359,Active store
CJX00133,ตลาดนัดศาลทราย,เขาคิชฌกูฏ,จันทบุรี,12.930416,102.044478,ก่อสร้างแล้ว รอเปิดร้าน
CJX00134,ถนนแผ่นดินทอง,เมืองจันทบุรี,จันทบุรี,12.587841,102.094042,ยังไม่ลงเสาเข็ม
CJX00135,บางน้ำวน,เมืองสมุทรสาคร,สมุทรสาคร,13.510378,100.181537,Active store
CJX00136,มะขามโพรง,แก่งกระจาน,เพชรบุรี,12.98595,99.752466,ยังไม่ลงเสาเข็ม
CJX00137,ซอยสุพรรณ บ่อวิน,ปลวกแดง,ระยอง,13.021342,101.135683,Active store
CJX00138,ตาลกง,ท่ายาง,เพชรบุรี,12.992907,99.936441,ก่อสร้างแล้ว รอเปิดร้าน
CJX00139,ตลาดเมืองทอง 1,หลักสี่,กรุงเทพมหานคร,13.895577,100.561146,Active store
CJX00140,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,13.563124,100.325124,Set up ร้าน
CJX00141,บ้านเกาะขวาง,เมืองจันทบุรี,จันทบุรี,12.568898,102.105524,Active store
CJX00142,ชุมชนบางควาย,ชะอำ,เพชรบุรี,12.71905,99.954546,Active store
CJX00143,คลอง 6 ตะวันออก 14,คลองหลวง,ปทุมธานี,14.043385,100.73253,Active store
CJX00144,ชุมชนคลองนิยมยาตรา,บางปะกง,ฉะเชิงเทรา,13.594066,100.924865,Active store
CJX00145,โค้งพัฒนา จันทบุรี,โป่งน้ำร้อน,จันทบุรี,13.050022,102.404138,Active store
CJX00146,โคกหม้อ,เมืองเพชรบุรี,เพชรบุรี,13.099647,99.963839,Active store
CJX00147,ตลาดนัดลุงพรวนหนองชุมพล,เขาย้อย,เพชรบุรี,13.287206,99.797824,Active store
CJX00148,หมู่บ้านพลีโน (สุขสวัสดิ์ 70),ทุ่งครุ,กรุงเทพมหานคร,13.62465,100.511768,ก่อสร้างแล้ว รอเปิดร้าน
CJX00149,พระอินทร์-บ้านศรีทอง,บางปะอิน,พระนครศรีอยุธยา,14.14788,100.617877,Chk#2 (เซ็นต์สัญญาเช่า)
CJX00150,ชุมชนวัดธรรมนาวา,บางปะอิน,พระนครศรีอยุธยา,14.136469,100.604495,Active store
CJX00151,หมู่บ้านเติมรัก (ถนนลาดปลาดุก),บางบัวทอง,นนทบุรี,13.914194,100.364806,Active store
CJX00152,ห้วยกรด,สรรคบุรี,ชัยนาท,15.094044,100.203695,Active store
CJX00153,ชุมชนลาดน้ำเค็ม,ผักไห่,พระนครศรีอยุธยา,14.48674,100.392834,Set up ร้าน
CJX00154,วัดหลักสี่ราษฎร์สโมสร,บ้านแพ้ว,สมุทรสาคร,13.574345,100.080004,Active store
CJX00155,หมู่บ้านวิวาเรี่ยม พุทธบูชา 36,ทุ่งครุ,กรุงเทพมหานคร,13.638236,100.477714,Chk#2 (เซ็นต์สัญญาเช่า)
CJX00156,แก่งดินสอ นาดี,นาดี,ปราจีนบุรี,14.079864,101.950016,ก่อสร้างแล้ว รอเปิดร้าน
CJX00157,หนองยาว,พนมสารคาม,ฉะเชิงเทรา,13.801824,101.36067,ก่อสร้างแล้ว รอเปิดร้าน
CJX00158,ถนนจรัญยานนท์,บางปะกง,ฉะเชิงเทรา,13.536743,100.951636,Set up ร้าน
CJX00159,ท่าน้ำบ้านไร่,เมืองสมุทรสาคร,สมุทรสาคร,13.585804,100.360472,ยังไม่ลงเสาเข็ม
CJX00160,เหมราช-หนองปลาหมอ,หนองแค,สระบุรี,14.386153,100.858274,Active store
